question,source,retrieved_doc_ids
Who is the distinguished professor in Robotic Vision at QUT with over 30 years of experience in robotics theory and practice?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
What is Kerrie Mengersen's role and affiliations in the academic field based on the given paragraph?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who is the Director of the Australian Cobotics Centre and what are his main research interests?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What are Professor Michael Milford's areas of expertise and research interests?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who was named the top robotics researcher in Australia by citation impact according to The Australian Research Magazine (2019)?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
Who is Professor David Lovell and what are his key roles at QUT?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Professor Kowalkiewicz recognized for and what are his areas of expertise?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who is the Senior Lecturer in Interaction Design at the Queensland University of Technology leading the 'Design Robotics for Mass Customised Manufacturing' research project with industry partner UAP?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who is Professor Markus Rittenbruch and what is his role at Queensland University of Technology (QUT)?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What are Dr. Chris Lehnert's research interests and focus within the Robotics and Autonomous Systems group at QUT?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
"Who is an expert on innovation, strategy, and International Business at QUT Business School and holds a Doctorate of Business Administration from Manchester Business School?",['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Dr. Tim Williams' background and expertise in the field of design?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['ARM Hub Concept Design Workshops Proposal Final.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is the focus of Associate Professor Alice Payne's research in the School of Design at QUT?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
"Who is the Study Area Coordinator for Industrial Design at QUT and a prominent researcher in the field of emotional experience, wearable tech for medical/health applications, and emerging technologies?",['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Dr. Pandey's research centred on and what projects does he lead?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Professor Ian Atkinson's role and expertise at James Cook University?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What role did Dr. Nico Adams hold at Swinburne University of Technology before joining JCU in December 2021?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Stephanie Baker's PhD focus and research interests?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
"What are some of the key achievements and roles of Professor Chen at the University of New South Wales (UNSW), Sydney?",['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Professor Matthew Dargusch's role in the AR C Industry Transformation Research Hub for Advanced Manufacturing of Medical Devices?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who is currently the Head of School of Information Technology and Electrical Engineering at The University of Queensland (UQ)?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is the total amount of research funding awarded to Michael as chief investigator (CI) in an academic career?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['20221128_FIN_Revised budget_Banana de-handing Draft for FFS 202210119+ (1).xlsx.pdf', '20221128_FIN_Revised budget_Banana de-handing Draft for FFS 202210119+ (1).xlsx.pdf', '20221128_FIN_Revised budget_Banana de-handing Draft for FFS 202210119+ (1).xlsx.pdf', '20221128_FIN_Revised budget_Banana de-handing Draft for FFS 202210119+ (1).xlsx.pdf']"
What are Dr. Gallagher's research interests and academic background?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What are the key research areas and projects led by Professor Bell in the field of materials engineering and energy?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What role did Professor Craig Baillie take on in 2011 and 2014 related to composite materials and manufacturing projects?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who is Professor Hon. John McVeigh and what is his role at USQ?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What are Dr. Alison McCarthy's research interests and qualifications in the field of agriculture and engineering?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
"What is the research interest of Associate Professor Xuesen Zeng at the Centre for Future Materials, USQ?",['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What are some of Professor Alan Wee-Chung Liew's notable achievements or contributions in academia?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
What is Professor David Lloyd's academic background and research experience in biomechanical engineering?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
Who is Australia’s 1st ranked and world’s 16th ranked biomechanics expert?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
What is Dr. Grace Bitner's expertise and focus in her research work?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who is currently serving as a member of the NDIA Specialist Disability Accommodation Reference Group?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Lasitha Piyathilaka's educational background and professional experience in the field of robotics and automation?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '20221025_BAE_ARM Hub Proposal 01.001 - OLD.docx.pdf']"
What are Dr. David Howard's research interests and areas of expertise?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
Who is the PI for the CSIRO Data61 team competing in the DARPA SubT Challenge and what research activities has he led within CSIRO?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
Who is the current national president of the Australian Society for Operations Research (ASOR)?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '20220612_Briefing Orrcon.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
What award was Melissa Nugent awarded in 2022 for AI in Manufacturing?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['AMGC National Robotics Industry Grant Fund[10].docx.pdf', 'AMGC National Robotics Industry Grant Fund[10]_Cori Edits.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'ARM Hub_MTI Site Visit.docx.pdf']"
What is Margaret Puls' role at ARM Hub and what expertise does she bring to the organization?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Ms Puls's expertise and experience in communication and media?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Catherine Leather's background and experience prior to joining ARM Hub?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Tim Kelly's expertise and industry experience in the field of aeronautical engineering?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '20221025_BAE_ARM Hub Proposal 01.001 - OLD.docx.pdf']"
What is Anthony Franze's current area of research for his PhD at QUT?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What has Mr. Duff led in the development of sensing systems for autonomous operation in hostile and unstructured environments?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '221017_MIN_initial meeting to discuss project.docx.pdf', 'ADR Project Agreement Draft 110121 (002).docx.pdf', '16  - AIDCC TASCRC Project Exemplar.pdf']"
"What is Professor Harvey's background and expertise in the fields of business strategy, business development, and technology transfer?",['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Jenni Lightowlers' expertise and experience in establishing research entities and advising on technology and R&D projects?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who is Rodney Brooks and what are his notable achievements in the field of robotics and artificial intelligence?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
Who is the Director of the Computer Science and Artificial Intelligence Laboratory (CSAIL) at MIT and what are her research interests?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
What is Professor Piller's area of research and expertise?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who was the first company to apply deep learning to medicine and selected as one of the world’s top 50 smartest companies by MIT Tech Review two years running?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'ARM Hubs Responsible AI Policy.docx.pdf', 'LLMOPs in Australian SME Manufacturing.docx.pdf', 'ARM Hubs Responsible AI Policy.docx.pdf']"
Who is the Chief Scientist of the Trusted Autonomous Systems (TAS) and what are her areas of expertise and qualifications?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf']"
Who is Shay Chalmers and what are her key roles and affiliations in the manufacturing industry?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Biographies_Digital Capability Experts_v4_cl.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
What is Dr. Evan Shellshear's role at Biarri and what is his expertise in?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
Who is Roozbeh Derakhshan and what are his areas of expertise and work experience?,['10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf'],"['Raul Bermejo - Data Engineer.docx.pdf', '10 - AIDCC ARM Hub AI and Digital Capability Centre Experts v5.pdf', 'Marc Habachi - Principal Engineer - Cloud.docx.pdf', 'Biographies_Digital Capability Experts_v4_cl.docx.pdf']"
What are the three primary risks to be concerned about when considering the role of the ARM Hub in relation to national security?,['11  - AIDCC National Security.pdf'],"['11  - AIDCC National Security.pdf', 'BRII Draft Application OLD.docx.pdf', 'BRII Draft Application OLD.docx (1).pdf', 'BRII - Figure 1 Initial System Architecture Concept.docx.pdf']"
