question,answer,chunk,chunk_id,source
What are the three potential options presented for automating banana de-handing and how do they distinguish themselves from previous attempts?,The three potential options presented for automating banana de-handing are based on observations in Innisfail/Tully and information from a desktop review. These options distinguish themselves from previous attempts by leveraging recent robotics and computer vision advances. The approach of robotics paired with computer vision allows for individual tailoring of the solution for each banana bunch.,"complex, 
adaptable and open loop cutting devices. It is anticipated that this approach would close the loop , 
detect ing and adapt ing to natural variations in the fruit. The abscission line that appeared on all 
bunches seen is expected to provide the perfect guide for a robotic banana de-hander . It is for these 
reasons that we suggest these strategies for developing an automated solution should be furthe r 
investigated. 
3.1 Automation Options 
 
Three potential options that could be developed for automating banana de -handing are presented . 
The three approaches proposed are based on the observations made in Innisfail/Tully and 
information uncovered in the desktop review. The three proposals distinguish themselves from 
previous attempts to automate banana de-handing by leveraging recent robotics and computer 
vision advances . Robotics paired with computer vision is an approach that could be expected to 
allow individual tailoring of the solution for each banana bunch. 
3.1.1 Option 1 The robotic banana de -hander 
 
This robot could work in the existing space for the banana de-handers . It would be mounted on a 
track for movement and equipped with a perception module and two robot arms. The first robot 
arm could use a purpose -designed and built robot gripper to grasp banana hands and position the 
bunch . The second arm , equipped with one of the cutting implements described below , would cut 
the hand from the stalk. Once a hand is removed from the bunch , the",53,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What technologies are available to expedite some aspects of the robotic banana de-hander process?,"Existing technologies that can expedite some aspects of the robotic banana de-hander process include the use of tracks for movement along the production line, robotic arms selected and adapted for the packing shed, and perception devices like 2D cameras, RGB/Greyscale cameras, depth cameras, and Lidar. These technologies contribute to streamlining the banana de-handing process by providing guidance, manipulation capabilities, and perception for efficient operation.","banana hands and position the 
bunch . The second arm , equipped with one of the cutting implements described below , would cut 
the hand from the stalk. Once a hand is removed from the bunch , the robot would place them in the 
trough/wheel. 
This approach represents a significant investment in both research and development – the largest 
investment of the three options proposed in this report . Note : a variant of this robot might be able 
to use a single more complex robot arm and man ipulator combination (i.e. the cutter and grasping 
tool on one arm). However, this would pose additional challenges in design . 
 
 
Existing tec hnolo gies 
Although, th e robotic banana de -hander represents a signi ficant amount of research and 
development, readily available technologies exist to expedite some aspects. 
• The track : When industr ial robots move along a production line, they are installed on tracks 
to guide them through the workspace. We would adopt this tracked approach allowing the 
robotic banana de-hander to move with the bananas on the overhead rail. 
• Robotic arms: Robotic arms are available in various scales and functionalities. The robotic 
banana de -hander would use existing robotic arms , selected and adapted for the packing 
shed. 
• Perception: The robotic banana de -hander would leverage existing perception devices , such 
as 2D cameras , RGB/Greyscale , depth cameras and Lidar . 
Technologies to develop FIGURE 26: AUTOMATED BANANA DE -HANDER OPTION 1.",54,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What technologies would a banana de-hander leverage for its operation?,"A banana de-hander would leverage existing perception devices such as 2D cameras, RGB/Greyscale cameras, depth cameras, and Lidar for its operation. These technologies are essential for developing an automated banana de-hander system, as shown in Figure 26. The system would utilize these devices to cut banana hands from the bunch and place them on a wheel/trough for further processing.","banana de -hander would leverage existing perception devices , such 
as 2D cameras , RGB/Greyscale , depth cameras and Lidar . 
Technologies to develop FIGURE 26: AUTOMATED BANANA DE -HANDER OPTION 1. USING TWO ROBOTIC ARMS AND A PERCEPTION 
PACKAGE THE ROBOT CUTS THE BANANA HANDS FROM THE BUNCH AND PLACES THEM ON THE WHEEL /TROUGH . • Robotic manipulator : To our knowledge, no existing robotic man ipulator can handle the 
fruit and not mark or bruise it. The easily markable skin of bananas represents a significant 
challenge when handling bananas. A purpose -designed manipulator will likely be needed for 
the robotic banana de -hander meet requirements . 
• Software : 
o Robotic control : The proposed robotic banana de -hander is a complex system 
completing a series of complex tasks in a cha llenging environment. Developing a 
controller to operate the robot would be a significant task. Tasks would include, 
path planning for two robot arms, (to ensure that they don’t collide with each other 
or the environment - dual arms posing increased difficulty to path planning on a 
single robot arm ), positioning the bunch, grasping the hand, cutting the hand from 
the bunch and placing the hand in the trough/wheel. 
o Perception : The perception system required to operate the robotic banana de-
hander would require significant development due to it’s novel and complex nature . 
Perception would need to identify the bunch, the bunch ’s centre of gravity for 
manipulation, individual",55,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What are the key considerations for developing a robotic banana de-hander according to the given paragraph?,"The key considerations for developing a robotic banana de-hander include significant development due to its novel and complex nature, perception requirements such as identifying the bunch, center of gravity, individual hands, and location for cuts, waterproofing to operate in a damp environment with water mist, sap proofing to handle sap in the environment, and minimizing infrastructure modifications by locating the robot in the existing area for manual de-handing with access to power and services.","de-
hander would require significant development due to it’s novel and complex nature . 
Perception would need to identify the bunch, the bunch ’s centre of gravity for 
manipulation, individual hands, location for cuts (abscission line ), clear space in the 
trough/wheel for the cut hand. 
• Waterproofing : The banana packing sheds observed operated bunch washes and floated the 
hands in water to remove sap. The entire robotics solution will need to operate in a damp 
environment with water mist in the air . Some components , such as robot arms , are 
commercially available in waterproof models and would be explored during development . 
• Sap proofing: Much of the water used in banana packing sheds removes sap from cut 
bananas. The robotic banana de-hander would need to operate in an environment with the 
sap needing the appropriate cleaning and maintenance considerations. 
Modification to existing infrastructure 
The design of the robotic banana de -hander would keep in frastructure modifications to packing 
sheds to a minimum. No additional space or equipment modifications would be necessary by 
locating the robotic banana de -hander in the area currently reserved for manual de -handing . The 
robotic banana de -hander would require a track on the ground to move with the banana bunches 
and access to power and other services needed to complete its task. Final ly as this system would 
likely use an industrial robot , the roboti c banana de -hander would need to conform",56,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What represents the most significant investment in research and development among the options presented for banana processing?,"The robotic banana de-hander represents the most significant investment in research and development among the options presented. The timeline for technology such as custom manipulators and software to mature for commercial implementation is anticipated to be from five to ten years. This solution offers broad opportunities for integration into the downstream workflow. Future technologies required for a robotic banana de-hander, including the manipulator and cutting tool, apply to the clustering, sorting, and banana packing tasks.","banana bunches 
and access to power and other services needed to complete its task. Final ly as this system would 
likely use an industrial robot , the roboti c banana de -hander would need to conform with safety 
requirements , including separating it from other banana workers . 
The robotic banana de -hander rep resents the most signi ficant investment in research and 
development of all the options presented. The timeline for technology such as custom manipulators 
and software to mature for com merc ial implementation is anticipated to be from five to ten years. 
This solution offers broad opportunit ies for integration into the downstream workflow. Future 
technologies required for a robotic banana de -hander , including the manipulator and cutting tool , 
apply to the clustering, sorting, and banana packing tasks . A robot similar to the robotic banana de-
hander could perform clustering and sort ing in banana processing lines . At the same time, a robot 
with the proposed de -handing manipulator could be further developed to pack banana clusters . 
Additionally , If an alternative to washing the sap from banana clusters can be found, a single robotic 
banana worker could de-hand, sort/cluster and pack banan as. The robotic banana de -hander 
represents the most ambitious approach to de -handing banana bunches proposed . The 
development of required components for its success do es have potential impl ementations in other 
aspects of banana processing as well as",57,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
How does the proposed submersion de-hander remove banana hands from the bunch?,"The proposed submersion de-hander lifts the banana bunch out of a trough and removes the hands at the water level. It uses a robot arm, a lifting and positioning mechanism, a perception package, and a cutting method. The process involves attaching the bunch to the mechanism, lowering it into the tank, identifying each hand's location, cutting the hand, and moving it away with a water jet. The hands are removed at water level, eliminating the need for additional handling of the bananas.","approach to de -handing banana bunches proposed . The 
development of required components for its success do es have potential impl ementations in other 
aspects of banana processing as well as processing of other foods . 
3.1.2 Option 2 The submersion de-hander 
The proposed submersion de-hander lifts the banana bunch out of a trough and removes the hands 
at the water level. The submersion de-hander uses a robot arm, a lifting and positioning mec hanis m, 
a perception package and one of the cutting methods detailed below. The submersion de-hander 
could be a standalone industrial robotic solution or operate alongside one or more de-hander s in a 
cobotic solution. 
As the banana bunch arrives on the overhead rail , the bunch is attached to the lifting and positioning 
mechanism and lowered into the tank. Once fully submerged , the lifting and positioning mechanism 
lifts the bunches out of the tank . As the bunch rises out of the tank, the perception system identifies 
each hands a nd location for the cut. The robot arm cuts the hand from the bunch . Once removed 
from the bunch, the hand is moved away with a water jet. There is no additional requirement to 
handle the banana b ecause the hands are removed at water level. The process is repeated for each 
hand on the bunch , with the lifting and positioning mechanism adjusting to the location of the cut . A 
conveyor lifts the hands from the tank onto the trough/wheel. Future work could see an additional 
module for",58,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What technologies are mentioned for the robotic banana de-handling process?,"The technologies mentioned for the robotic banana de-handling process include robotic arms adapted for the packing shed, perception devices like 2D cameras, RGB/Greyscale, depth cameras, and Lidar, as well as existing conveyor technology. These technologies are utilized to lift and position the bananas for de-handing in the processing line.",", with the lifting and positioning mechanism adjusting to the location of the cut . A 
conveyor lifts the hands from the tank onto the trough/wheel. Future work could see an additional 
module for clustering and sorting bananas before entering the trough/wheel. 
 
 
Existing technologies 
• Robotic arms: Robotic arms are available in various scales and functionalities. The robotic 
banana de -hander would use existing robotic arms adapted for the packing shed. 
• Perception: The robotic banana de -hander would leverage existing perception devices , such 
as 2D cameras, RGB/Greyscale, depth cameras and Lidar. 
• Conveyer : Getting the banan as from the tank to the wheel/trough would ut ilise existing 
conveyor technology. Conveyors are used extensively in banana packing sheds and would be 
adapted to get the hands from the tank into the processing line. 
Technologies to develop 
• Lifting and positioning mechanism: The proposed lifting and positioning mechanism could 
form part of the robotic or cobotic solution . 
Conveyor belt 
or future 
module 
 
FIGURE 28: BANANA DE -HANDING ROBOT OPTION 2. THE BANANAS ARE SUSPENDED IN A TANK OF WATER AND 
SLOWLY LIFTED . AS THE BUNCH IS LIFTED THE INDIVIDUAL HANDS ARE REMOVED . o The robotic lifting and positioning mechanism would be attach ed to the banana 
bunch as it approaches via the overhead rail before positioning the bunch for de-
handing. The mec hanis m needs to be developed and could be a mechanical solution 
or a robotic",59,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What tasks would the proposed submersion de-hander need to perform according to the paragraph?,"The proposed submersion de-hander will need to be developed to perform tasks including attaching the bunch to the lifting and positioning mechanism, lifting and manipulating/positioning the bunch, as well as cutting banana hands. These tasks would need to be based on the feedback of the perception system. Developing a controller to operate the robot would be a significant task.","ed to the banana 
bunch as it approaches via the overhead rail before positioning the bunch for de-
handing. The mec hanis m needs to be developed and could be a mechanical solution 
or a robotic actuator. In the case of a cobotic lifting and positioning mechanism , a 
banana de -hander would locate the bunch into the mechanism and use an assisted 
positioning device to manipulate the bunch for de-handing. 
• Software : 
o Robotic control : The proposed submersion de-hander will need to be developed to 
perform tasks including – attaching the bunch to the lifting and positioning 
mechanism, lifting and manipulat ing/position ing the bunch , as well as cutting 
banana hands . These tasks would need to be based on the feedback of the 
perception system . Developing a controller to operate the robot would be a 
significant task. 
o Perception : A dedicated perception package would need to be developed for the 
submersion de-hander . Perception would need to identify the bunch, the bunch ’s 
centre of gravity for manipulation, individual hands, location for cuts (based on the 
abscission line ). 
• Waterproofing : The observed banana packing sheds operated bunch washes and floated the 
hands in water to remove sap. The entire robotics solution will need to operate in a damp 
environment with water mist in the air. Some components, such as robot arms, are 
commercially available in waterproof models and would be explored during development. 
• Sap proofing: Much of the water used",60,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What is the purpose of sap proofing in the development of the robotic banana de-hander?,"Sap proofing is essential in the development of the robotic banana de-hander to ensure that the machine can operate effectively in an environment with sap from cut bananas. The water used in banana packing sheds is used to remove sap from the bananas, making it necessary for the de-hander to function in such conditions. Testing and incorporating requirements for cleaning and maintenance are crucial aspects to consider in the system development process to address the presence of sap.","with water mist in the air. Some components, such as robot arms, are 
commercially available in waterproof models and would be explored during development. 
• Sap proofing: Much of the water used in banana packing sheds removes sap from cut 
bananas. The robotic banana de-hander would need to operate in an environment with the 
sap. Requirements for cleaning and maintenance would need to be tested and incorporated 
in the system development . 
Modification to existing infrastructure 
The tank used by the submersion de-hander will be located in the banana de-handing area to utili se 
the existing overhead rails. The tank will need to be large enough to contain the largest banana 
bunches and exceed a depth of 1.5 metres . The packing shed will need to allocate space to fit the 
tank. The banana packing shed will require m odification to the overhead rail system to facilitate 
attaching the bunches to the lifting and positioning mec hanis m. This modification may be as simple 
as a mechanical system to position the bunch for the lifting and positioning mechanism or the 
addition of an actuator. 
The submersion de-hander simplif ies the post -cutting process by removing the hands directly into 
the water. Cutting the hands directly into the water removes the need for an additional robotic arm 
with a manipulator (as seen in the robotic banana de -hander option above) . This reduces a 
significant amount of expected system complexity. However, without the additional arm , a",61,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
How could the attachment of the bunch to the lifting and positioning mechanism be resolved in the context of the robotic arm system described in the paragraph?,"The attachment of the bunch to the lifting and positioning mechanism could be resolved through the development of a cobotic solution. In this approach, the operator could assist in positioning the bunch into the lifting and positioning mechanism before the robot de-hands the bunch. This cobotics approach simplifies the modification needed for the attachment of bunches and allows a single banana de-hander to operate multiple submersion de-handers.","robotic arm 
with a manipulator (as seen in the robotic banana de -hander option above) . This reduces a 
significant amount of expected system complexity. However, without the additional arm , a solution 
needs to be developed to attach the bunch to the lifting and positioning mechanism – which may 
add complexity to the system. The attachment of the bunch to the lifting mechanism could be 
fulfilled by a robotic or mechanical solution , with both solution s need ing research and development. 
The attachment of the bunch to the lifting and positioning mech anism could be resolved through the 
development of a cobotic solution. The operator could assist in positioning the bunch into the lifting 
and positioning mechanism before the robot de-hands the bunch. The approach would simplify the 
modification ne eded for the attachment of bunches. This cobotics ap proach would see a single 
banana de -hander operate multiple submersion de -handers. The ability to incorporate robotic collaboration into the subme rsion de-hander means that we can 
stage its development . Starting with the operator helping align and maneuver the bunch with an 
assisted lifting device in place of the lifting and positioning mechanism . This approach would allow 
initial exploration of the cutting device needed for banan a de-handing. Once the cutting device is 
mature , we would develop an automated lifting and positioning mec hanis m with human -assisted 
bunch attachment. Finally , the entire",62,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What is the proposed approach for de-handing bananas from below and how does it work?,"The proposed de-handing from below approach involves suspending the bunch at an angle over a water tank. The hands are cut and fall directly into the water. The manipulator lowers and rotates the bunch into position for the robotic arm to cut/remove the hands. The de-handing from below robot utilizes a robot arm, a lowering and rotating mechanism, a perception package, and one of the cutting methods detailed below. The angle of the bunch causes gravity to pull the banana hands away from the stalk, ensuring access to the cutting line and reducing the depth needed for the stem to be lowered as subsequent layers of hands are removed. The perception system plays a crucial role in identifying the process.","needed for banan a de-handing. Once the cutting device is 
mature , we would develop an automated lifting and positioning mec hanis m with human -assisted 
bunch attachment. Finally , the entire de-handing process could be automated. 
The modular nature of the proposed submersion de -hander means future work could add clustering 
and sorting components at the location of the proposed convey or. The potential expansion would 
leverage technologies such as banana handling and perception developed for the submersion de -
hander. The submersion de -hander offers a staged approach to the automation of banana de -
handing. This staged approach means the entire solution does not need to be complete before 
results can be seen in banana packing sheds. 
 
3.1.3 Option 3 De-handing from below 
 
 
The proposed de-handing from below approach involves suspending the bunch , at an angle, over a 
water tank . The hands are cut and fall directly into the water. The manipulator lowers and rotates 
the bunch into position for the robotic arm to cut/remove the hands. The de-handing from below 
robot uses a robot arm, a lowering and rotating mechanism, a perception package and one of the 
cutting methods detailed below. The angle of the bunch would cause gravity to pull the banana 
hands away from the stalk , retain a degree of access to the cutting line and reduce the depth 
required for the stem to be lowered as subsequent layers of hands are removed. The perception 
system identifies the",63,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
How does the robot remove the banana hands in the banana de-handing process described in the paragraph?,"In the banana de-handing process, the robot identifies the banana hands from beneath using the perception system and removes the hands just above the water. The robot arm can operate above the waterline, dropping the hands a short distance into the water before moving them away with jets or submerging them. This method eliminates the need for a manipulator to handle the bananas and utilizes a conveyor to lift the hands from the tank onto the trough/wheel.","the stalk , retain a degree of access to the cutting line and reduce the depth 
required for the stem to be lowered as subsequent layers of hands are removed. The perception 
system identifies the banana hands from beneath , and the robot remove s the hands just above the 
water. Note : the robot arm can operate above the wa terline, dropping the hands a short distance 
into the water before being moved away by jets, or submerged as per figure 30. Cutting the hands 
from the bunch just above the water removes the need for a manipulator to handle the bananas. A 
conveyor lifts the hands from the tank onto the trough/wheel. Future work could see an additional 
module for clustering and sorting bananas before entering the trough/wheel. Similarly to the 
submersion de-hander, de-handing from below could be implemented as a standalone robotics 
solution or a collaborative cobotics solution. 
Conveyor belt 
or future 
module 
 
FIGURE 30: BANANA DE -HANDING OPTION 3. THE BANANA BUNCH IS ANGLED TO A TUB OF WATER AND THE HANDS 
ARE REMOVED JUST ABOVE THE WATER . ONCE IN THE WATER THE HANDS ARE MOVED AWAY WITH WATER JETS . Existing technologies 
• Robotic arms: Robotic arms are available in various scales and functionalities. The robotic 
banana de -hander would use existing robotic arms adapted for the packing shed. 
• Perception: The robotic banana de -hander would leverage existing perception devices , such 
as 2D cameras, RGB/Greyscale, depth cameras and Lidar. 
• Conveyer :",64,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What technologies are proposed for developing the robotic banana de-hander for the packing shed?,"The proposed technologies for developing the robotic banana de-hander include perception devices like 2D cameras, RGB/Greyscale, depth cameras, and Lidar for perception. Conveyors are utilized to transport bananas from the tank to the processing line. Additionally, a lifting and rotating mechanism is suggested to be part of the robotics or cobotics solution, with options for robotic or mechanical actuation.","arms adapted for the packing shed. 
• Perception: The robotic banana de -hander would leverage existing perception devices , such 
as 2D cameras, RGB/Greyscale, depth cameras and Lidar. 
• Conveyer : Getting the banan as from the tank to the wheel/trough would utili se existing 
conveyor technology. Conveyors are used extensively in banana packing sheds and can be 
adapted to get the hands from the tank into the processing line. 
Technologies to develop 
• Lifting and rotating mechanism: The proposed lifting and rotating mechanism could form 
part of the robotics or cobotics solution. 
o The robotic lifting and rotating mechanism would be attached to the banana bunch 
as it approaches via the overhead rail before positioning the bunch for de-handing. 
The mechanism to do so needs to be developed and could be a mechanical solution 
or a robotic actuator. 
o The cobotic lifting and rotating mechanism would see a banana de -hander position 
the bunch in the mechanis m. This approach could see a single staff member operate 
multiple robotic de-handers. 
• Software : 
o Robotic control : The proposed solution to de-hand bananas from below will need to 
lift, manipulate, and remove banana hands based on the feedback of the perception 
system. Significant development would be required for the proposed controller to 
operate the robot. Tasks for the controller include attaching the bunch to the lifting 
and rotating mechanism, positioning the bunch and cutting the hands from the",65,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What tasks are included for the proposed controller to operate the robot in the banana packing shed?,"The tasks for the controller include attaching the bunch to the lifting and rotating mechanism, positioning the bunch, and cutting the hands from the bunch in the banana packing shed. These tasks are essential for the efficient operation of the robotic system in handling banana bunches.","for the proposed controller to 
operate the robot. Tasks for the controller include attaching the bunch to the lifting 
and rotating mechanism, positioning the bunch and cutting the hands from the 
bunch. 
o Perception : As for the robotic control, a dedicated perception package for the de-
hand from below robot de-hander would need to be developed . Perception would 
need to identify the bunch, the bunch ’s centre of gravity for manipulation, individual 
hands, and location for cuts . 
• Waterproofing : The observed banana packing sheds operated bunch washes and floated the 
hands in water to remove sap. The entire robotic solution will need to operate in a damp 
environment with water mist in the air. Some components, such as robot arms, are 
commercially available in waterproof models and would be explored during development. 
• Sap proofing: Much of the water used in banana packing sheds removes sap from cut 
bananas. The robotic banana de-hander would need to operate in an environment with the 
sap. Requirements for cleaning and maintenance would need to be tested and incorporated 
in the system development. 
 
Modification to existing infrastructure 
The tank used to de -hand the banana bunches from below will be located in the banana de-handing 
area to utili se the existing overhead rails. The packing shed will need to allocate space to fit the tank. 
The banana packing shed will require modification to the overhead rail system to facilitate attaching the bunches to",66,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What modifications are required in the banana packing shed to facilitate attaching the bunches to the lifting and rotating mechanism?,"The banana packing shed will require modification to the overhead rail system to facilitate attaching the bunches to the lifting and rotating mechanism. This modification may involve a mechanical system to position the bunch for the lifting mechanism or the addition of an actuator. De-handing banana bunches from below simplifies the post-cutting process by removing the hands directly into the water, eliminating the need for an additional robotic arm with a manipulator, thus reducing system complexity.","overhead rails. The packing shed will need to allocate space to fit the tank. 
The banana packing shed will require modification to the overhead rail system to facilitate attaching the bunches to the lifting and rotating mechanism. This modification may be as simple as a 
mechanical system to position the bunch for the lifting mechanism or the addition of an actuator. 
De-handing banana bunces from below simplifies the post -cutting process by removing the hands 
directly into the water. Cutting the hands directly into the water removes the need for an additional 
robotic arm with a manipulator (as seen in the robotic banana de -hander option above). This 
reduces a significant amount of expected system complexity. However, without the additional arm, a 
solution needs to be developed to attach the bunch to the lifting mechanism – which may add 
complexity to the system. The att achment of the bunch to the lifting mechanism could be fulfilled by 
a robotic or mechanical solution, with both solutions needing research and development. 
The attachment of the bunch to the lifting mechanism could be resolved through the development 
of a cobotic solution. The operator could assist in positioning the bunch into the lifting mechanism 
before the robot de -hands the bunch. The approach would simplify the modification needed for the 
attachment of bunches. This cobotics approach would see a single banana de -hander operate 
multiple submersion de -handers. 
The ability to incorporate",67,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What is the proposed approach for automating the banana de-handing process according to the paragraph?,"The proposed approach for automating the banana de-handing process involves a cobotics approach where a single banana de-hander operates multiple submersion de-handers. Initially, the operator assists in aligning and maneuvering the bunch with a lifting device, followed by the development of a cutting device. Subsequently, an automated lifting and rotating mechanism is introduced with human-assisted bunch attachment, leading to the full automation of the de-handing process. The modular nature of this approach allows for potential future additions like clustering and sorting components at the conveyor location, leveraging existing technologies for banana handling and perception.","would simplify the modification needed for the 
attachment of bunches. This cobotics approach would see a single banana de -hander operate 
multiple submersion de -handers. 
The ability to incorporate robotic collaboration into the de-handing from below approach means 
that we can stage its development. Starting with the operator helping align and maneuver the bunch 
with an assisted lifting device in place of the lifting and rotating mechanism. This approach would 
allow initial exploration of the cutting device needed for banana de-handing. Once the cutting device 
an automated lifting and rotating mechanism could be developed with a human -assisted bunch 
attachment. Finally, the entire de-handing process could be automated. 
The modular nature of the proposed approach to remove hands from below means future work 
could add clustering and sorting components at the location of the proposed conveyor. The 
potential expansion would leverage technologies such as banana handling and perception developed 
for the de -hander. The de -hander offers a staged ap proach to the automation of banana de -handing. 
This staged approach means the entire solution does not need to be complete before results can be 
seen in banana packing sheds. 
 
3.2 Cutting tool options 
The cutting tool used by a robotic banana de -hander will play a pivotal role in removing the bananas 
from the bunch. We propose the exploration of five cutting tool options. Two technologies with 
proven capabilities in",68,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What are the pros and cons of using a pneumatic knife for de-handing bananas according to the paragraph?,"According to the paragraph, the pros of using a pneumatic knife for de-handing bananas include proven technology and availability of parts at local tool shops. On the other hand, the cons of using a pneumatic knife are the requirement for installation of pneumatic lines (if not already in place), the need for additional safety measures for packing shed workers, and susceptibility to sap build-up.","by a robotic banana de -hander will play a pivotal role in removing the bananas 
from the bunch. We propose the exploration of five cutting tool options. Two technologies with 
proven capabilities in the banana industry, one with a track record of use in the food industry and 
two untested options that may benefit the de -handing process . The cutting tools of interest are as 
follows. 3.2.1 Knife 
The banana packing sheds observed in Innisfail , and Tully farms used 
knives (Figure 31) to remove hand s from the stem . It would be 
feasible to attach a knife to a robot arm end -effector and us e it in 
the same mann er in which current banana de -handers remove 
bananas from the bunch ’s stem . 
Pros 
• Proven technology . 
• Low cost . 
• No additional infrastructure. 
Cons 
• Requires sharpening . 
• Likely to require additional safety for packing shed 
workers. 
• Susceptible to sap build -up. 
 
 
3.2.2 Pneumatic knife 
Banana varieties such as ladyfingers use pneumatic knives to cut the hands from the bunch. The 
pneumatic knife could be attached to the robot end -effector (in a similar approach to that described 
in 3.2.1 above) . 
Pros 
• Proven Technology. 
• Parts are typically available at a local tool shop. 
Cons 
• Requires inst allation of pneumatic lines (where not 
already in place) . 
• Likely to require additional safety for packing shed 
workers. 
• Susceptible to sap build -up. 
FIGURE 32: PNEUMATIC KNIFE SIMILAR TO 
THOSE USED FOR DE -HANDING LADYFINGER",69,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What are the pros and cons of using a water jet for cutting banana hands from bunches?,"The pros of using a water jet for cutting banana hands include having no cutting edge to clog with sap and the existence of food grade variants. However, it may be difficult to cut only the intended fruit and requires additional water plumbing along with safety barriers.","already in place) . 
• Likely to require additional safety for packing shed 
workers. 
• Susceptible to sap build -up. 
FIGURE 32: PNEUMATIC KNIFE SIMILAR TO 
THOSE USED FOR DE -HANDING LADYFINGER 
BANANAS [27]. FIGURE 31: KNIFE SIMILAR TO THOSE USED 
IN BANANA PACKING SHEDS IN INNISFAIL 
AND TULLY [27]. 
3.2.3 Water jet 
Water jets are used to cut food in other food processing applications [28]. This tec hnolo gy may be 
adaptable for cutting banana hands from bunches. 
Pros 
• No cutting edge to clog with sap. 
• Food grade variants exist. 
Cons 
• May be difficult only to cut the intended fruit. 
• Require s additional water plumbing . 
• May require safety barriers. 
 
3.2.4 Laser 
Examples exist of lasers used for cutting and engraving food 
[29]. The laser's heat may seal the banana crown when cutting , preventing sap from lea king from the 
fruit. 
Pros 
• May seal the end of the banana hands as they are cut from the bunches. 
• Some examples of use with food. 
• No cutting edge to clog with sap. 
Cons 
• No known examples of use in mass -produced food . 
• Unknown safety issues of using lasers around water. 
 
3.2.5 Hotwire cutter 
Simil ar to the proposed use of lasers, it is anticipated that hotwire cutting could have the added 
benefit of stop ping the sap flow from the cut edge of the banana hand. 
Pros 
• May seal the banana hands as they are cut from the bunches. 
Cons 
• No known examples of use in mass -produced food. 
• Susceptible to sap build -up. 
 
We",70,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
What are the pros and cons of using the cut edge of the banana hand for cutting banana hands from bunches?,"The pros of using the cut edge of the banana hand include the potential to seal the banana hands as they are cut from the bunches. However, the cons are that there are no known examples of its use in mass-produced food and it is susceptible to sap build-up, which can be a drawback in the process.","the cut edge of the banana hand. 
Pros 
• May seal the banana hands as they are cut from the bunches. 
Cons 
• No known examples of use in mass -produced food. 
• Susceptible to sap build -up. 
 
We have provide d five areas of exploration for cutting banana hands from bunches. The kni fe and 
pneumatic knife are proven technologies in the banana industry. Either option could be 
FIGURE 33: WATER JET NOZZLE USED IN 
FOOD PROCESSING [28]. implemented with minimal research and some level of success expected . Both the knife and 
pneumatic knife are susceptible to sap build -up. We also propose using water jet cutting tec hnolo gy 
with existing food processing implementations. This approach does not have a cutting edge to clog 
with sap and may be a viable technology. The last two options , laser cutting and hot wire cutting are 
technologies largely untest ed in food processing . They offer the prospect of sealing the cut when the 
hand is removed from the bunch. This reduction in sap produced during processing is worth 
exploration. Our recommendation is to further explore the f ive cutting methods for use on a robotic 
banana de -hand er. This exploration should look to identify the level of su itability of the three 
methods untested in the banana industry and determine the most effective method for an 
automated de -handing solution . 
4 Estimated Costs 
A cost benefit analysis for incorporating automated robotic dehanding into existing farm processes 
would require a",71,20220315_Feasibility Report for improving banana de-handing with robotics_MN updated.docx.pdf
